"bench","solver","instance","ert"
"rbv2_xgboost","RS",16,280000
"rbv2_xgboost","EA",16,1337.2
"rbv2_xgboost","OP",16,280000
"rbv2_xgboost","SM",16,1246.6
"rbv2_xgboost","RS",40923,6.75
"rbv2_xgboost","EA",40923,1.45
"rbv2_xgboost","OP",40923,1.25
"rbv2_xgboost","SM",40923,1.4
"rbv2_xgboost","RS",41143,280000
"rbv2_xgboost","EA",41143,1339.9
"rbv2_xgboost","OP",41143,280000
"rbv2_xgboost","SM",41143,280000
"rbv2_xgboost","RS",470,987.8
"rbv2_xgboost","EA",470,280000
"rbv2_xgboost","OP",470,280000
"rbv2_xgboost","SM",470,1312.15
"rbv2_xgboost","RS",1487,280000
"rbv2_xgboost","EA",1487,1367.85
"rbv2_xgboost","OP",1487,280000
"rbv2_xgboost","SM",1487,1359.25
"rbv2_xgboost","RS",40499,234.5
"rbv2_xgboost","EA",40499,291.65
"rbv2_xgboost","OP",40499,250.25
"rbv2_xgboost","SM",40499,42.45
"rbv2_xgboost","RS",40966,280000
"rbv2_xgboost","EA",40966,1379.75
"rbv2_xgboost","OP",40966,280000
"rbv2_xgboost","SM",40966,1323.9
"rbv2_xgboost","RS",41164,234.7
"rbv2_xgboost","EA",41164,52.4
"rbv2_xgboost","OP",41164,48.3
"rbv2_xgboost","SM",41164,30.65
"rbv2_xgboost","RS",1497,280000
"rbv2_xgboost","EA",1497,1288.15
"rbv2_xgboost","OP",1497,1190.65
"rbv2_xgboost","SM",1497,1257.45
"rbv2_xgboost","RS",40975,280000
"rbv2_xgboost","EA",40975,280000
"rbv2_xgboost","OP",40975,280000
"rbv2_xgboost","SM",40975,1211.6
"rbv2_xgboost","RS",1461,501.45
"rbv2_xgboost","EA",1461,180.2
"rbv2_xgboost","OP",1461,134.1
"rbv2_xgboost","SM",1461,109.15
"rbv2_xgboost","RS",41278,48.55
"rbv2_xgboost","EA",41278,12.8
"rbv2_xgboost","OP",41278,9.8
"rbv2_xgboost","SM",41278,8.65
"rbv2_xgboost","RS",11,280000
"rbv2_xgboost","EA",11,280000
"rbv2_xgboost","OP",11,280000
"rbv2_xgboost","SM",11,1311.55
"rbv2_xgboost","RS",54,280000
"rbv2_xgboost","EA",54,280000
"rbv2_xgboost","OP",54,280000
"rbv2_xgboost","SM",54,1261.25
"rbv2_xgboost","RS",300,27.25
"rbv2_xgboost","EA",300,9.2
"rbv2_xgboost","OP",300,4.85
"rbv2_xgboost","SM",300,7.35
"rbv2_xgboost","RS",40984,280000
"rbv2_xgboost","EA",40984,280000
"rbv2_xgboost","OP",40984,280000
"rbv2_xgboost","SM",40984,1279.6
"rbv2_xgboost","RS",31,19.45
"rbv2_xgboost","EA",31,280000
"rbv2_xgboost","OP",31,280000
"rbv2_xgboost","SM",31,280000
"rbv2_xgboost","RS",1067,986.35
"rbv2_xgboost","EA",1067,1362.3
"rbv2_xgboost","OP",1067,280000
"rbv2_xgboost","SM",1067,1351.5
"rbv2_xgboost","RS",1590,280000
"rbv2_xgboost","EA",1590,797.55
"rbv2_xgboost","OP",1590,623.95
"rbv2_xgboost","SM",1590,248.35
"rbv2_xgboost","RS",40983,280000
"rbv2_xgboost","EA",40983,280000
"rbv2_xgboost","OP",40983,280000
"rbv2_xgboost","SM",40983,1266
"rbv2_xgboost","RS",41163,158.7
"rbv2_xgboost","EA",41163,144.75
"rbv2_xgboost","OP",41163,51.7
"rbv2_xgboost","SM",41163,25.05
"rbv2_xgboost","RS",41165,20.3
"rbv2_xgboost","EA",41165,4.5
"rbv2_xgboost","OP",41165,4
"rbv2_xgboost","SM",41165,4.85
"rbv2_xgboost","RS",182,570
"rbv2_xgboost","EA",182,452.6
"rbv2_xgboost","OP",182,232.95
"rbv2_xgboost","SM",182,98
"rbv2_xgboost","RS",1220,1210.95
"rbv2_xgboost","EA",1220,392.95
"rbv2_xgboost","OP",1220,412.75
"rbv2_xgboost","SM",1220,140.55
"rbv2_xgboost","RS",41159,699.1
"rbv2_xgboost","EA",41159,201.9
"rbv2_xgboost","OP",41159,183.55
"rbv2_xgboost","SM",41159,136.9
"rbv2_xgboost","RS",41169,10.85
"rbv2_xgboost","EA",41169,2.75
"rbv2_xgboost","OP",41169,2.45
"rbv2_xgboost","SM",41169,2.6
"rbv2_xgboost","RS",42,1316.05
"rbv2_xgboost","EA",42,170.4
"rbv2_xgboost","OP",42,118.3
"rbv2_xgboost","SM",42,145.75
"rbv2_xgboost","RS",188,280000
"rbv2_xgboost","EA",188,280000
"rbv2_xgboost","OP",188,280000
"rbv2_xgboost","SM",188,1261.8
"rbv2_xgboost","RS",1457,20.6
"rbv2_xgboost","EA",1457,4.65
"rbv2_xgboost","OP",1457,4.25
"rbv2_xgboost","SM",1457,5.3
"rbv2_xgboost","RS",1480,27.6
"rbv2_xgboost","EA",1480,280000
"rbv2_xgboost","OP",1480,280000
"rbv2_xgboost","SM",1480,1375.2
"rbv2_xgboost","RS",6332,280000
"rbv2_xgboost","EA",6332,280000
"rbv2_xgboost","OP",6332,280000
