"bench","solver","instance","ert"
"rbv2_xgboost","SM",16,1
"rbv2_xgboost","EA",16,1.07267768329857
"rbv2_xgboost","RS",16,224.610941761592
"rbv2_xgboost","OP",16,224.610941761592
"rbv2_xgboost","OP",40923,1
"rbv2_xgboost","SM",40923,1.12
"rbv2_xgboost","EA",40923,1.16
"rbv2_xgboost","RS",40923,5.4
"rbv2_xgboost","EA",41143,1
"rbv2_xgboost","RS",41143,208.970818717815
"rbv2_xgboost","OP",41143,208.970818717815
"rbv2_xgboost","SM",41143,208.970818717815
"rbv2_xgboost","RS",470,1
"rbv2_xgboost","SM",470,1.32835594249848
"rbv2_xgboost","EA",470,283.458189916987
"rbv2_xgboost","OP",470,283.458189916987
"rbv2_xgboost","SM",1487,1
"rbv2_xgboost","EA",1487,1.00632701857642
"rbv2_xgboost","RS",1487,205.99595365091
"rbv2_xgboost","OP",1487,205.99595365091
"rbv2_xgboost","SM",40499,1
"rbv2_xgboost","RS",40499,5.52414605418139
"rbv2_xgboost","OP",40499,5.89517078916372
"rbv2_xgboost","EA",40499,6.87043580683157
"rbv2_xgboost","SM",40966,1
"rbv2_xgboost","EA",40966,1.04218596570738
"rbv2_xgboost","RS",40966,211.496336581313
"rbv2_xgboost","OP",40966,211.496336581313
"rbv2_xgboost","SM",41164,1
"rbv2_xgboost","OP",41164,1.57585644371941
"rbv2_xgboost","EA",41164,1.70962479608483
"rbv2_xgboost","RS",41164,7.65742251223491
"rbv2_xgboost","OP",1497,1
"rbv2_xgboost","SM",1497,1.05610380884391
"rbv2_xgboost","EA",1497,1.08188804434553
"rbv2_xgboost","RS",1497,235.165665812791
"rbv2_xgboost","SM",40975,1
"rbv2_xgboost","RS",40975,231.099372730274
"rbv2_xgboost","EA",40975,231.099372730274
"rbv2_xgboost","OP",40975,231.099372730274
"rbv2_xgboost","SM",1461,1
"rbv2_xgboost","OP",1461,1.22858451672011
"rbv2_xgboost","EA",1461,1.65093907466789
"rbv2_xgboost","RS",1461,4.59413650939075
"rbv2_xgboost","SM",41278,1
"rbv2_xgboost","OP",41278,1.13294797687861
"rbv2_xgboost","EA",41278,1.47976878612717
"rbv2_xgboost","RS",41278,5.61271676300578
"rbv2_xgboost","SM",11,1
"rbv2_xgboost","RS",11,213.487857878083
"rbv2_xgboost","EA",11,213.487857878083
"rbv2_xgboost","OP",11,213.487857878083
"rbv2_xgboost","SM",54,1
"rbv2_xgboost","RS",54,222.001982160555
"rbv2_xgboost","EA",54,222.001982160555
"rbv2_xgboost","OP",54,222.001982160555
"rbv2_xgboost","OP",300,1
"rbv2_xgboost","SM",300,1.51546391752577
"rbv2_xgboost","EA",300,1.89690721649485
"rbv2_xgboost","RS",300,5.61855670103093
"rbv2_xgboost","SM",40984,1
"rbv2_xgboost","RS",40984,218.818380743983
"rbv2_xgboost","EA",40984,218.818380743983
"rbv2_xgboost","OP",40984,218.818380743983
"rbv2_xgboost","RS",31,1
"rbv2_xgboost","EA",31,14395.8868894602
"rbv2_xgboost","OP",31,14395.8868894602
"rbv2_xgboost","SM",31,14395.8868894602
"rbv2_xgboost","RS",1067,1
"rbv2_xgboost","SM",1067,1.37020327469965
"rbv2_xgboost","EA",1067,1.38115273483044
"rbv2_xgboost","OP",1067,283.874892279617
"rbv2_xgboost","SM",1590,1
"rbv2_xgboost","OP",1590,2.5123817193477
"rbv2_xgboost","EA",1590,3.21139520837528
"rbv2_xgboost","RS",1590,1127.44111133481
"rbv2_xgboost","SM",40983,1
"rbv2_xgboost","RS",40983,221.169036334913
"rbv2_xgboost","EA",40983,221.169036334913
"rbv2_xgboost","OP",40983,221.169036334913
"rbv2_xgboost","SM",41163,1
"rbv2_xgboost","OP",41163,2.06387225548902
"rbv2_xgboost","EA",41163,5.77844311377245
"rbv2_xgboost","RS",41163,6.33532934131736
"rbv2_xgboost","OP",41165,1
"rbv2_xgboost","EA",41165,1.125
"rbv2_xgboost","SM",41165,1.2125
"rbv2_xgboost","RS",41165,5.075
"rbv2_xgboost","SM",182,1
"rbv2_xgboost","OP",182,2.37704081632653
"rbv2_xgboost","EA",182,4.61836734693878
"rbv2_xgboost","RS",182,5.81632653061224
"rbv2_xgboost","SM",1220,1
"rbv2_xgboost","EA",1220,2.79580220562078
"rbv2_xgboost","OP",1220,2.93667733902526
"rbv2_xgboost","RS",1220,8.61579509071505
"rbv2_xgboost","SM",41159,1
"rbv2_xgboost","OP",41159,1.34075967859752
"rbv2_xgboost","EA",41159,1.47479912344777
"rbv2_xgboost","RS",41159,5.10664718772827
"rbv2_xgboost","OP",41169,1
"rbv2_xgboost","SM",41169,1.06122448979592
"rbv2_xgboost","EA",41169,1.12244897959184
"rbv2_xgboost","RS",41169,4.42857142857143
"rbv2_xgboost","OP",42,1
"rbv2_xgboost","SM",42,1.23203719357566
"rbv2_xgboost","EA",42,1.44040574809806
"rbv2_xgboost","RS",42,11.1246830092984
"rbv2_xgboost","SM",188,1
"rbv2_xgboost","RS",188,221.905214772547
"rbv2_xgboost","EA",188,221.905214772547
"rbv2_xgboost","OP",188,221.905214772547
"rbv2_xgboost","OP",1457,1
"rbv2_xgboost","EA",1457,1.09411764705882
"rbv2_xgboost","SM",1457,1.24705882352941
